,Qtr,StateAbbreviation,Deaths,Cases,UnemploymentRate(%),Personal_Income_Change,GDP_growth_rate,State,Mask,Cases_p,Deaths_p,CFR,CFR_p
160,2020Q2,AR,270,20777,9.301777777777778,47.5,-27.9,Arkansas,"Yes, 07/20/2020",272263,4343,1.3,1.6
161,2020Q2,AZ,1645,79399,11.406666666666666,43.4,-25.3,Arizona,"No, nan",679282,11265,2.1,1.7000000000000002
162,2020Q2,CA,6083,232153,14.918390804597703,28.6,-31.5,California,"Yes, 07/18/2020",3032007,33742,2.6,1.0999999999999999
163,2020Q2,CO,1690,32698,10.024479166666667,21.8,-28.1,Colorado,"Yes, 07/17/2020",378311,5462,5.2,1.4000000000000001
164,2020Q2,CT,4322,46514,9.058333333333334,17.3,-31.1,Connecticut,"Yes, 04/17/2020",230125,6670,9.3,2.9000000000000004
165,2020Q2,DC,551,10327,,21.8,-20.4,District of Columbia,"Yes, 07/22/2020",34033,857,5.3,2.5
166,2020Q2,DE,509,11474,14.700000000000001,30.3,-21.9,Delaware,"Yes, 09/16/2020",70910,1016,4.3999999999999995,1.4000000000000001
167,2020Q2,FL,3504,152426,10.100497512437812,30.3,-30.1,Florida,"No, nan",1579273,24273,2.3,1.5
168,2020Q2,GA,2758,77280,8.21530398322851,34.0,-27.7,Georgia,"No, nan",796307,11967,3.5999999999999996,1.5
169,2020Q2,GU,6,1228,,,,Guam,,8454,129,0.5,1.5
170,2020Q2,HI,18,901,23.866666666666664,57.3,-42.2,Hawaii,"Yes, 03/16/2020",24424,319,2.0,1.3
171,2020Q2,IA,717,29152,8.436,50.0,-28.2,Iowa,"Yes, 11/17/2020",306082,4324,2.5,1.4000000000000001
172,2020Q2,ID,92,6124,8.375757575757575,42.0,-32.4,Idaho,"No, nan",155641,1609,1.5,1.0
173,2020Q2,IL,7136,144661,13.065686274509803,40.2,-29.7,Illinois,"Yes, 6/26/2020",1074719,20119,4.9,1.9
174,2020Q2,IN,2640,46740,13.071376811594202,33.0,-33.0,Indiana,"Yes, 07/27/2020",595760,9340,5.6000000000000005,1.6
175,2020Q2,KS,276,14629,6.161587301587302,29.8,-30.3,Kansas,"Yes, 07/02/2020",262519,3525,1.9,1.3
176,2020Q2,KY,588,15916,10.747777777777777,49.7,-34.5,Kentucky,"Yes, 07/09/2020",331982,3462,3.6999999999999997,1.0
177,2020Q2,LA,3221,58203,11.385416666666666,49.0,-31.4,Louisiana,"Yes, 07/11/2020",369951,8253,5.5,2.1999999999999997
178,2020Q2,MA,8095,108882,17.245238095238093,59.1,-31.6,Massachusetts,"Yes, 05/06/2020",473441,13705,7.3999999999999995,2.9000000000000004
179,2020Q2,MD,3190,68152,9.420833333333333,27.4,-27.7,Maryland,"Yes, 07/31/2020",328417,6596,4.7,2.0
180,2020Q2,ME,105,3253,8.770833333333334,55.9,-34.4,Maine,"Yes, 05/01/2020",33876,514,3.2,1.5
181,2020Q2,MI,6197,70850,19.753815261044178,64.6,-37.6,Michigan,"Yes, 10/05/2020",583846,14677,8.7,2.5
182,2020Q2,MN,1476,36338,7.814176245210728,37.8,-31.3,Minnesota,"Yes, 07/25/2020",447417,6007,4.1000000000000005,1.3
183,2020Q2,MO,1037,22275,7.826086956521739,38.2,-32.1,Missouri,"No, nan",469352,6655,4.7,1.4000000000000001
184,2020Q2,MP,2,30,,,,Northern Mariana Islands,,128,2,6.7,1.6
185,2020Q2,MS,1073,27248,12.0369918699187,51.4,-32.9,Mississippi,"No, nan",253932,5524,3.9,2.1999999999999997
186,2020Q2,MT,22,967,7.550000000000001,57.3,-30.8,Montana,"Yes, 07/15/2020",89584,1093,2.3,1.2
187,2020Q2,NC,1362,65064,10.432,29.2,-30.5,North Carolina,"Yes, 06/24/2020",676315,8131,2.1,1.2
